source,book,page,problem_number,type,answer,response,correct
LLM_annotation,라이트쎈 중등수학 1-1,6,101,3,"[ㄷ, ㄹ]","-1:(ㄷ),(ㄹ)",False
LLM_annotation,라이트쎈 중등수학 1-1,15,207,1,5,-7: 2,False
LLM_annotation,라이트쎈 중등수학 1-1,6,103,0,5,-1:5,False
LLM_annotation,라이트쎈 중등수학 1-1,9,119,0,3,-1: 3,False
LLM_annotation,라이트쎈 중등수학 1-1,4,86,0,2,-86: 2,False
LLM_annotation,라이트쎈 중등수학 1-1,15,212,1,6,"-1: 2 
-2: 6",False
LLM_annotation,라이트쎈 중등수학 1-1,16,215,0,3,-0215: ③,False
LLM_annotation,라이트쎈 중등수학 1-1,8,113,1,1,-0113: 1,False
LLM_annotation,라이트쎈 중등수학 1-1,12,186,1,12,-1: 12,False
LLM_annotation,라이트쎈 중등수학 1-1,3,74,1,3, -74:3,False
LLM_annotation,라이트쎈 중등수학 1-1,15,212,1,6,"-212: $a=3$, $b=2$, $c=1$, $a+b+c=6$",False
LLM_annotation,라이트쎈 중등수학 1-1,13,195,0,"[1,4]","-0195: 1, 4",False
LLM_annotation,라이트쎈 중등수학 1-1,6,99,0,2,"-1: 36
-2: 50
-3: 2^6
-4: 2 x 3 x 11 
-5: 3^4 x 7
-답: 2",False
LLM_annotation,라이트쎈 중등수학 1-1,5,92,0,3,-92: 3,False
LLM_annotation,라이트쎈 중등수학 1-1,5,91,1,8,-91: 2,False
LLM_annotation,라이트쎈 중등수학 1-1,16,213,1,90,-1:90,False
LLM_annotation,라이트쎈 중등수학 1-1,15,211,1,2,"-1:3 
-2:1 
-3:2 
-4: $a + b -c = 3 + 1 - 2$ 
-5: $= 2$",False
LLM_annotation,라이트쎈 중등수학 1-1,8,116,0,4," -1: 2^3 *6 
-2: 6* 11 
-3:  2^3* 7 
-4:  3^3* 5 
-5:  2^4* 5",False
LLM_annotation,라이트쎈 중등수학 1-1,12,187,0,5,"-1: 
-2: 
-3: 
-4: 
-5:",False
LLM_annotation,라이트쎈 중등수학 1-1,5,96,1,248,-0096: 248,False
LLM_annotation,라이트쎈 중등수학 1-1,14,199,0,5,"-199: 5 
- 꼬리문제는 답안에 포함되어있지않아.",False
LLM_annotation,라이트쎈 중등수학 1-1,6,102,0,"[2,4]","-2: 2,4",False
LLM_annotation,라이트쎈 중등수학 1-1,8,117,0,5,-11: 11,False
LLM_annotation,라이트쎈 중등수학 1-1,1,64,"[1:1, 2:1, 3:1]","[1:7, 2:11, 3:[8,9,10,11]]","-1:7
-2:11
-3:[8,9,10,11]",False
LLM_annotation,라이트쎈 중등수학 1-1,14,201,1,810,-1: 810,False
LLM_annotation,라이트쎈 중등수학 1-1,6,98,1,42,-0098: 42,False
LLM_annotation,라이트쎈 중등수학 1-1,8,115,1,8,-115: 8,False
LLM_annotation,라이트쎈 중등수학 1-1,13,195,0,"[1,4]","-0195: 1,4",False
LLM_annotation,라이트쎈 중등수학 1-1,15,209,0,5,"-1:4
-2:3
-3:2",False
LLM_annotation,라이트쎈 중등수학 1-1,15,208,0,2,-208: 2,False
LLM_annotation,라이트쎈 중등수학 1-1,10,133,0,2," -1: 4,9, 289",False
LLM_annotation,라이트쎈 중등수학 1-1,8,118,0,4,"-118: ③ 2, 3, 17",False
LLM_annotation,라이트쎈 중등수학 1-1,2,71,1,128,-71: 2^7,False
LLM_annotation,라이트쎈 중등수학 1-1,3,78,1,1, -1:1,False
LLM_annotation,라이트쎈 중등수학 1-1,3,79,0,2,-0079: 6,False
LLM_annotation,라이트쎈 중등수학 1-1,15,206,1,"[24,40,48]","-1:( 24, 40, 48 )",False
LLM_annotation,라이트쎈 중등수학 1-1,14,204,"[1:1, 2:1]","[1:7, 2:14]","-1:7 
-2:14",False
LLM_annotation,라이트쎈 중등수학 1-1,4,81,0,4," -1: 2,3 
 -2: 2,3 
 -3: 2,3 
 -4: 2,3 
 -5: 2,3",False
LLM_annotation,라이트쎈 중등수학 1-1,8,111,0,3,-1: 3,False
LLM_annotation,라이트쎈 중등수학 1-1,7,107,0,3,-1: 3,False
LLM_annotation,라이트쎈 중등수학 1-1,9,122,0,3,-122: 4,False
LLM_annotation,라이트쎈 중등수학 1-1,8,112,0,4,"-1: 
-2: 
-3: 
-4: X 3을 아니
-5: 2,3,5,7,11,13,17,19",False
LLM_annotation,라이트쎈 중등수학 1-1,9,120,1,20,-120: 20,False
LLM_annotation,라이트쎈 중등수학 1-1,11,180,1,9,-0180: 9,False
LLM_annotation,라이트쎈 중등수학 1-1,3,77,0,1,-77: 2,False
LLM_annotation,라이트쎈 중등수학 1-1,8,114,1,131,-114: 131,False
LLM_annotation,라이트쎈 중등수학 1-1,3,73,0,4,-73: 4,False
LLM_annotation,라이트쎈 중등수학 1-1,1,62,1,2,-62: 2,False
LLM_annotation,라이트쎈 중등수학 1-1,1,63,0,2,-63: 8,False
LLM_annotation,라이트쎈 중등수학 1-1,9,121,0,4,-121:  4번,False
LLM_annotation,라이트쎈 중등수학 1-1,10,126,1,2,-126: 2,False
LLM_annotation,라이트쎈 중등수학 1-1,14,202,0,2, -2:924,False
LLM_annotation,라이트쎈 중등수학 1-1,11,179,1,"[1,2,3,6,6]","-1:1
-2:2
-3:3
-6:6",False
LLM_annotation,라이트쎈 중등수학 1-1,13,198,0,4,"-1: 
-2: 
-3: 
-4: $2^2 \times 3^2 \times 5^2 \times 7$
-5:",False
LLM_annotation,라이트쎈 중등수학 1-1,4,87,"[1:2, 2:1]","[1: 2*3^2*5^2*7, 2: 14]"," -1: 2 x 3 x 5^2 x 7 
-2: 14",False
LLM_annotation,라이트쎈 중등수학 1-1,13,197,0,3," -1: $2^2 \times 3^3 \times 7^2$
-2: $2^2 \times 3^4 \times 7^2$
-3: $2^3 \times 3^2 \times 7^3$
-4: $2^3 \times 3^3 \times 7^3$
-5: $2^3 \times 3^3 \times 5 \times 7^2$",False
LLM_annotation,라이트쎈 중등수학 1-1,13,196,1,5,-0196: 5,False
LLM_annotation,라이트쎈 중등수학 1-1,11,184,0,"[2,5]","-1: $\bigcirc$
-2: $\times$
-3: $\bigcirc$
-4: $\bigcirc$
-5: $\times$",False
LLM_annotation,라이트쎈 중등수학 1-1,12,191,0,4,-0191: 3,False
LLM_annotation,라이트쎈 중등수학 1-1,13,193,1,210,-193: 210,False
LLM_annotation,라이트쎈 중등수학 1-1,1,65,0,"[3,4]","-65: 3,4",False
LLM_annotation,라이트쎈 중등수학 1-1,2,69,1,"[a:5, b:6]","-69: (a=5, b=6)",False
LLM_annotation,라이트쎈 중등수학 1-1,3,76,1,7, -76: 2-2-7,False
LLM_annotation,라이트쎈 중등수학 1-1,4,88,0,1,-0088: 6,False
LLM_annotation,라이트쎈 중등수학 1-1,7,108,0,5,-1:5,False
LLM_annotation,라이트쎈 중등수학 1-1,4,88,0,1,"-1: ① 
-2: 6 
-3: 30",False
LLM_annotation,라이트쎈 중등수학 1-1,5,93,1,"[3, 4]","-93: 3,4,5,6,10,12,15,20,25,30,50,60,75,100,150,300",False
LLM_annotation,라이트쎈 중등수학 1-1,7,106,1,2,"-1:4,8",False
LLM_annotation,라이트쎈 중등수학 1-1,13,196,1,5,-0196: 5,False
LLM_annotation,라이트쎈 중등수학 1-1,3,75,0,4," -1: 
 -2: 
 -3: 
 -4: ④
 -5:",False
LLM_annotation,라이트쎈 중등수학 1-1,5,89,1,21,-89: 21,False
LLM_annotation,라이트쎈 중등수학 1-1,4,85,1,10,-85: 10,False
